STRUCTURE,STRUCTURE_ID,freq,unit,tra_meas,rep_airp,schedule,tra_cov,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWW,TOT,NAT,2020,72014,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWW,TOT,NAT,2021,57902,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWW,TOT,NAT,2022,113168,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BA_LQSA,TOT,INTL,2021,383003,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BA_LQSA,TOT,NAT,2021,825,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BA_LQTZ,TOT,INTL,2021,115538,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BA_LQTZ,TOT,NAT,2021,0,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BE_EBAW,TOT,INTL,2017,125069,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BE_EBAW,TOT,INTL,2018,137894,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BE_EBAW,TOT,INTL,2019,142791,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BE_EBAW,TOT,INTL,2020,37183,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BE_EBAW,TOT,INTL,2021,55736,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BE_EBAW,TOT,INTL,2022,105373,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BE_EBAW,TOT,NAT,2017,1899,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BE_EBAW,TOT,NAT,2018,1939,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BE_EBAW,TOT,NAT,2019,2241,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BE_EBAW,TOT,NAT,2020,1239,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BE_EBAW,TOT,NAT,2021,1292,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BE_EBAW,TOT,NAT,2022,1659,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BE_EBBR,TOT,INTL,2017,12408801,
